user_id,name,department,status,hire_date,termination_date,last_login,role,access_level,manager_id,has_conflict
1,Anthony Martinez,Finance,Terminated,2026-01-22,2022-08-08,2024-05-13,Admin,High,29,True
2,Tammy Hernandez DVM,Sales,Active,2025-08-17,,2026-03-23,Initiator,Low,55,False
3,Joshua Gentry,HR,Active,2026-01-12,,2026-04-11,Approver,High,65,False
4,Kayla Espinoza,HR,Active,2025-01-31,,2026-03-22,Read-Only,High,58,False
5,Michelle Wright,IT,Active,2026-03-01,,2026-03-20,Approver,Low,55,False
6,Craig Johnson,Legal,Active,2024-08-22,,2026-04-09,Approver,Medium,14,False
7,Terry Rose,Finance,Active,2024-01-26,,2026-04-10,Admin,Medium,78,False
8,Sophia Bailey,IT,Active,2025-12-16,,2026-03-21,Read-Only,Low,16,False
9,Oscar Mccormick DVM,Operations,Terminated,2025-10-04,2026-02-14,2026-04-07,Admin,Low,80,True
10,Nicholas Anderson,Legal,Active,2025-02-14,,2026-03-22,Initiator,High,85,False
11,Brian Pope,Marketing,Active,2024-07-30,,2026-04-11,Approver,High,49,False
12,Darlene Gray,IT,Active,2023-08-29,,2026-03-24,Admin,High,48,False
13,Alison Smith,Legal,Active,2025-01-09,,2026-03-23,Admin,Low,88,False
14,John Meyer,Finance,Active,2025-03-29,,2026-03-27,Approver,High,60,False
15,Robert Alvarez,Operations,Active,2024-09-08,,2026-03-15,Approver,Low,42,False
16,Steven Wallace,HR,Active,2024-11-30,,2026-03-18,Initiator,Medium,52,False
17,Glenn Flores,IT,Active,2025-10-30,,2026-04-07,Admin,High,84,False
18,Julie Wilkinson,Procurement,Active,2023-12-25,,2026-03-16,Read-Only,High,34,False
19,Joseph Clark,Sales,Active,2024-10-25,,2026-03-21,Admin,Low,75,False
20,Tanya Woodard,Operations,Terminated,2023-12-18,2023-11-11,2024-11-29,Approver,High,66,True
21,Laura Pearson,Procurement,Active,2025-09-09,,2026-03-20,Initiator,High,20,False
22,Jacob Stephens,Sales,Active,2023-11-01,,2026-03-25,Initiator,Medium,49,False
23,Jennifer Lambert,Procurement,Active,2024-10-16,,2026-03-27,Initiator,Low,93,False
24,David Jenkins,Finance,Terminated,2024-09-14,2025-12-15,2026-04-10,Admin,High,38,True
25,Lauren Joseph,Operations,Active,2025-04-25,,2026-03-30,Initiator,Low,93,False
26,Jose Boyle,IT,Active,2023-05-24,,2026-03-20,Approver,Low,14,False
27,Anita Cruz,IT,Active,2023-05-10,,2026-03-25,Approver,High,48,False
28,Gregory Webb,Sales,Active,2026-03-13,,2026-03-25,Admin,Medium,3,False
29,Lori Sutton,Finance,Active,2024-03-01,,2026-03-16,Admin,High,8,False
30,Brian Watts,Marketing,Active,2025-10-04,,2026-04-11,Read-Only,High,98,False
31,Timothy Bowen,Sales,Active,2025-06-25,,2026-03-23,Read-Only,Low,22,False
32,Angela Johnson,IT,Active,2023-10-30,,2026-03-14,Approver,Low,97,False
